Station,Year,region,PC1_prcp,PC2_prcp,PC3_prcp
US1TXMVR014,2016,West,-770.1399093180255,-276.33074865685353,-116.24815110053339
US1TXMVR014,2017,West,-1523.3786353551898,-70.97009705779033,164.71865562898574
US1TXNC0003,2010,East,-940.6509914817814,358.9963274859808,24.62606264084104
US1TXNC0004,2010,East,-470.28412717189485,-257.1708208476015,364.02237583315275
US1TXNC0004,2011,East,-169.99815987122656,-106.47379331444779,-88.37192944886317
US1TXNC0004,2012,East,759.2431957603967,-869.2059575021906,2606.2432940030267
US1TXNC0004,2013,East,999.228224777326,-1689.147359422966,656.9130628434078
US1TXNC0004,2014,East,1491.0161614839099,292.1111238590863,-141.0431103797397
US1TXNC0005,2011,East,359.7934383855454,-198.54405278852224,-77.42699876429344
US1TXNC0005,2012,East,182.4605854962051,-403.41442762411907,1486.71772639857
US1TXNC0005,2013,East,592.4225319492043,-1045.0861949859911,442.6985531409831
US1TXNC0005,2014,East,1214.3856536372596,-76.41788379172031,-584.5132457106398
US1TXNC0005,2015,East,3084.1305729105143,122.28602322325295,-811.1213047587682
US1TXNC0005,2016,East,1021.7737013724495,2055.0731689858044,831.1962030267947
US1TXNC0005,2017,East,1520.4326622773187,2389.14938095485,200.00367873839184
US1TXNC0005,2018,East,1916.0603510139263,-1616.8605782436398,1703.9357327110633
US1TXNC0005,2019,East,1750.8898810475762,385.5348790900283,-319.2409547730811
US1TXNC0005,2020,East,1171.2908292455513,375.2243136887587,853.6032924320485
US1TXNC0005,2021,East,2063.4751146255658,1149.029658274701,-1828.8687714161392
US1TXNC0007,2015,East,3369.803069844813,209.57184109420902,-1544.6743984095788
US1TXNC0007,2016,East,943.2778630830812,2289.1024744539977,848.9996117626282
US1TXNC0007,2017,East,1259.9643930755146,2421.318637984917,437.56787011695144
US1TXNC0007,2018,East,2255.8707641095725,-2489.3537340742473,2427.9431664266485
US1TXNC0007,2020,East,1081.2231297413591,391.65351506613524,740.0126115780243
US1TXNC0007,2021,East,3227.9713335955203,1427.1182823603124,-2470.46952216708
US1TXNL0010,2017,West,-739.1970780074644,495.88783920979483,-278.69856665449373
US1TXNL0010,2018,West,-200.2533907138809,-1515.6499065492233,669.6387946842323
US1TXNL0010,2019,West,-700.4875826469279,121.33906072497606,-1130.6451857083177
US1TXNL0010,2020,West,-1498.9306953767045,-100.7580551668124,-52.137685718359876
US1TXNL0010,2021,West,-288.4081865982773,705.1717215962867,-1432.2808916788613
US1TXNU0004,2008,Gulf Coast,-1202.6133195388024,427.61407876036924,174.84144947857862
US1TXNU0004,2009,Gulf Coast,-563.6338895883948,-1232.0678394423442,779.2376614187098
US1TXNU0004,2010,Gulf Coast,-881.4622001132493,-325.52932531418037,902.582138401397
US1TXNU0004,2011,Gulf Coast,-1190.4867915881568,-82.13163035093001,-392.42448424912027
US1TXNU0004,2012,Gulf Coast,-905.9657574086468,-473.57507688004216,60.927918074272384
US1TXNU0004,2013,Gulf Coast,-527.657080476049,-527.8622878085644,805.4140416323349
US1TXNU0004,2014,Gulf Coast,-279.7787874684725,-924.2839294800978,571.7764583729746
US1TXNU0004,2015,Gulf Coast,1392.2959585843869,-246.86423532473387,-1228.164697055312
US1TXNU0004,2016,Gulf Coast,875.7066167697244,898.6489287726702,-1236.3660091908991
US1TXNU0007,2008,Gulf Coast,-1307.4344683074196,216.69096428185108,33.593752003003715
US1TXNU0007,2009,Gulf Coast,-1012.8238111242613,-962.9918388637019,485.9888415960146
US1TXNU0007,2010,Gulf Coast,-940.6423739027621,-826.0783881632248,1257.751001219322
US1TXNU0007,2011,Gulf Coast,-1399.932927557581,-393.98253950378717,-471.77876980482796
US1TXNU0007,2012,Gulf Coast,-788.3486243571649,-55.92055301344268,-338.14988277567664
US1TXNU0007,2013,Gulf Coast,-1060.8740390310188,-126.86932690993189,571.9918014810363
US1TXNU0007,2014,Gulf Coast,-497.7489934762282,-1296.6278616296006,151.2515468549666
US1TXNU0007,2015,Gulf Coast,841.6331580315805,-440.14810347778666,-876.4794572752114
US1TXNU0007,2016,Gulf Coast,794.6403030622314,287.2017042582106,-1038.0164161550726
US1TXNU0007,2017,Gulf Coast,-597.2304025212547,157.3278728605749,-879.3158385350143
US1TXNU0007,2018,Gulf Coast,390.4458781262724,-1904.7656867853398,2652.38795692641
US1TXNU0007,2019,Gulf Coast,-237.01408366296823,-222.47633257030841,-579.7289301833125
US1TXNU0007,2020,Gulf Coast,-565.3038688378865,307.92480195640394,-1176.7573345024946
US1TXNU0007,2021,Gulf Coast,1556.8961290456605,-445.96394402752753,-785.9870582916135
US1TXNU0009,2012,Gulf Coast,-1081.7733938670603,-189.9402688346965,118.55427653952574
US1TXNU0009,2013,Gulf Coast,-988.6932506440739,-864.6596619537362,852.8852790795125
US1TXNU0009,2014,Gulf Coast,-429.3602351783745,-942.414055063449,89.25572447004504
US1TXNU0009,2015,Gulf Coast,1311.1830130768044,-246.80639555530345,-1629.0307112365658
US1TXNU0009,2016,Gulf Coast,-1008.122426631365,60.661005146205284,364.54089822067806
US1TXNU0009,2017,Gulf Coast,-924.6789303825251,957.4602805009215,799.6544259024189
US1TXNU0009,2018,Gulf Coast,24.751033881447256,736.4810224356099,94.37115321669387
US1TXNU0009,2019,Gulf Coast,-841.9127787768764,-452.6555817791368,28.842414901648795
US1TXNU0009,2020,Gulf Coast,-529.2493541848712,368.6378827612401,-1141.0622063538763
US1TXNU0009,2021,Gulf Coast,-1118.2132617315967,301.1730184014324,-168.2989158133385
US1TXNU0010,2008,Gulf Coast,-1441.9482128511734,251.95317357791626,-32.29725430654241
US1TXNU0010,2009,Gulf Coast,-857.6299343413875,-1178.7301788858567,284.85653779789175
US1TXNU0010,2010,Gulf Coast,-918.2294476793202,-815.5795612929323,1275.5642870705133
US1TXNU0010,2011,Gulf Coast,-1568.85628511917,-49.547554738513185,-504.69929885198457
US1TXNU0010,2012,Gulf Coast,-703.0793194398661,76.9799908849914,-676.2468660490607
US1TXNU0010,2013,Gulf Coast,-1006.7514386171961,-786.7537150768459,994.944184347231
US1TXNU0010,2014,Gulf Coast,-413.66737018738627,-1351.5148100226938,613.7358698961629
US1TXNU0010,2015,Gulf Coast,1960.22716808723,-253.1405782945396,-1316.7788202721672
US1TXNU0010,2016,Gulf Coast,941.1534104627517,235.52963665225806,-1313.301199778706
US1TXNU0010,2017,Gulf Coast,-484.5724639294924,698.030006147051,-313.28279603163656
US1TXNU0010,2018,Gulf Coast,258.4653008712057,-1833.9820672514536,2477.0943435240597
US1TXNU0010,2019,Gulf Coast,429.03796460356034,-50.97118785379116,-1249.425207488318
US1TXNU0010,2020,Gulf Coast,-367.2645208346635,353.5992532955968,-957.9159619217941
US1TXNU0011,2008,Gulf Coast,-951.687235204455,716.159127260802,413.9719512342516
US1TXNU0011,2009,Gulf Coast,-426.010459419859,-1202.4964980956063,315.73107226546506
US1TXNU0011,2010,Gulf Coast,-454.82667910559167,-1234.0245536278485,2142.393993104192
US1TXNU0011,2011,Gulf Coast,-1477.8950977005159,-194.42743750731788,-404.87259062743453
US1TXNU0011,2012,Gulf Coast,-800.3653357084263,-249.6439628943063,-363.350194022544
US1TXNU0011,2013,Gulf Coast,-1372.0151423507655,6.377325021014485,216.43635011681658
US1TXNU0012,2008,Gulf Coast,-1309.0391024612557,1053.2534157018138,504.58950207345663
US1TXNU0012,2009,Gulf Coast,-827.331130113733,-887.4017817096687,258.2262357414594
US1TXNU0012,2010,Gulf Coast,-362.7316826251347,-449.20241582965434,1320.1539985066815
US1TXNU0012,2011,Gulf Coast,-1455.3414607601758,-172.1551071672776,-99.14395429580424
US1TXNU0012,2012,Gulf Coast,-672.3475876185678,-85.75548714570064,-177.8785609437861
US1TXNU0012,2013,Gulf Coast,-809.1087224512028,383.55516023673647,154.7014108523748
US1TXNU0012,2014,Gulf Coast,-215.28811243272366,-44.93018789502136,228.52582915345363
US1TXNU0012,2015,Gulf Coast,1552.011123395539,234.34518984990459,-1299.433989953298
US1TXNU0012,2016,Gulf Coast,-520.1865537846343,481.39359760322486,798.6739091119745
US1TXNU0012,2017,Gulf Coast,-802.8902705622011,479.41465679960993,387.65745303139045
US1TXNU0012,2018,Gulf Coast,63.16653713406822,-1090.9122606068831,1073.7583767635106
US1TXNU0012,2019,Gulf Coast,-960.1605123431409,-316.4495984806493,-180.55164966087244
US1TXNU0012,2020,Gulf Coast,-229.39063834306444,173.57977156293322,-216.64925249746722
US1TXNU0012,2021,Gulf Coast,114.3822172568016,185.1158359835506,-999.7041568501911
US1TXNU0013,2008,Gulf Coast,-826.4511710064435,273.17006281838064,706.3478685833521
US1TXNU0013,2009,Gulf Coast,-946.0023014359924,-1163.5857863411857,864.9573948374442
US1TXNU0013,2010,Gulf Coast,-446.43347617677546,-721.5074871974925,1346.839182144744
US1TXNU0013,2011,Gulf Coast,-1645.0792643580794,-21.4281599100417,-394.49181145078745
US1TXNU0013,2012,Gulf Coast,-1251.705174377311,-226.98714451253815,62.687960319227955
US1TXNU0013,2013,Gulf Coast,-476.2182341291498,-1073.3803347070204,1231.177739722929
US1TXNU0015,2011,Gulf Coast,-1577.6187040858035,-120.65813107275835,-464.01131631285796
US1TXNU0015,2012,Gulf Coast,-652.6361695902251,-59.034182993911884,-442.53219225656164
US1TXNU0015,2013,Gulf Coast,-1125.9257837314785,-583.3257000002814,415.6274244905543
US1TXNU0015,2014,Gulf Coast,80.599681678666,-1288.9482506006364,876.0057703623435
US1TXNU0015,2015,Gulf Coast,1467.030745567045,136.0507150720414,-1294.2694464572592
US1TXNU0015,2016,Gulf Coast,929.4101431158724,868.889992061974,-1166.0361916383172
US1TXNU0015,2017,Gulf Coast,-89.99506467909714,11.246102647368886,-603.5340325738437
US1TXNU0015,2018,Gulf Coast,22.328210268334715,-496.81250256763497,900.9486009294434
US1TXNU0015,2019,Gulf Coast,-546.2416289424,-529.9015331756368,45.834159093052335
US1TXNU0015,2020,Gulf Coast,-149.0301193547466,218.07427337623542,-756.4856610778945
US1TXNU0015,2021,Gulf Coast,1824.181208238284,-232.0873285580738,-1160.0724681706488
US1TXNU0017,2015,Gulf Coast,877.269500180345,405.74734448652,-734.8810646169961
US1TXNU0018,2009,Gulf Coast,-660.3711294084792,-1440.3002743908678,956.5061049253967
US1TXNU0018,2012,Gulf Coast,-1112.725710832366,40.917759588624506,-650.7501698948892
US1TXNU0018,2013,Gulf Coast,-800.238113018496,-960.8237856673408,1184.784367958906
US1TXNU0019,2009,Gulf Coast,-912.5861336151484,-1151.9381622747492,587.0926311261561
US1TXNU0019,2010,Gulf Coast,-975.086089562629,-1081.4080473179574,2071.861560475829
US1TXNU0020,2009,Gulf Coast,-305.2066816406657,-1499.7959643621714,524.9620843950507
US1TXNU0020,2010,Gulf Coast,-649.3022699288092,-1338.8359683046071,2333.4498751238257
US1TXNU0020,2011,Gulf Coast,-1136.5265862808205,-348.84913205611053,-354.0161122696648
US1TXNU0021,2009,Gulf Coast,-920.9358694485588,-1216.9239437904364,733.9393834291199
US1TXNU0021,2010,Gulf Coast,-744.3197552609627,-932.4547689051788,1751.312288017919
