Station,Year,region,PC1_tmax,PC2_tmax,PC3_tmax
USR0000TLBJ,2021,Central,-4.606042024977839,6.51807437205164,-7.276150969190418
USR0000TLGR,2001,Gulf Coast,-0.04625594279067968,1.8186424484255852,0.11852304013129356
USR0000TLGR,2002,Gulf Coast,0.7577268183871553,1.4478784596751382,0.9667441514293387
USR0000TLGR,2003,Gulf Coast,0.30437708394509855,2.707792894152952,-1.5107686407938843
USR0000TLGR,2004,Gulf Coast,1.2388231913975716,4.894000314490675,-1.2984915991615864
USR0000TLGR,2005,Gulf Coast,6.4052489476288486,0.9033117541306908,-2.7231545574470175
USR0000TLGR,2006,Gulf Coast,8.518808448550246,-0.36799482210583534,0.5154668598757155
USR0000TLGR,2007,Gulf Coast,2.7066330496213595,5.488807343089398,-2.339001376568426
USR0000TLGR,2008,Gulf Coast,7.276380484520885,-0.6345801321819309,0.3933354062554102
USR0000TLGR,2009,Gulf Coast,6.475637043127804,-5.582311944984291,2.7408288562059155
USR0000TLGR,2010,Gulf Coast,2.3470964747659053,1.8298380954208966,-5.567213494715837
USR0000TLGR,2011,Gulf Coast,8.75292653586149,-4.315872958405585,-4.356377242755599
USR0000TLGR,2012,Gulf Coast,9.014381819809657,1.2475418720257565,-0.9321366993582885
USR0000TLGR,2013,Gulf Coast,3.759641905224555,-2.7146747069686867,0.45790645438747646
USR0000TLGR,2014,Gulf Coast,1.536300363966248,0.48076241776839623,-2.6179475691122036
USR0000TLGR,2015,Gulf Coast,3.033278696839517,2.8302135861560487,-4.7766248722559155
USR0000TLGR,2016,Gulf Coast,7.86967299816591,2.0942936871037148,0.16041454250726872
USR0000TLGR,2017,Gulf Coast,9.303923355896003,-0.24105391311238833,4.293133373783441
USR0000TLGR,2018,Gulf Coast,1.7519041617138242,-2.4750788202053116,0.6052424954335933
USR0000TLGR,2019,Gulf Coast,2.5198354289989027,1.1259054535537345,-4.293267278065713
USR0000TLGR,2020,Gulf Coast,6.7267370983796155,1.0167882268253976,-0.4632114854377747
USR0000TLGR,2021,Gulf Coast,4.543299269667685,6.626200998129605,-4.391245984317486
USR0000TLIN,2003,Central,14.492114576275654,0.9091107745191422,-1.8361455855058821
USR0000TLIN,2004,Central,15.403116778432903,3.2968000819032355,-1.3687484176998908
USR0000TLIN,2005,Central,19.44083428793246,0.039720543092258254,-1.6058134059677514
USR0000TLIN,2006,Central,20.43120269210928,-0.5734871049621759,2.652706194908326
USR0000TLIN,2007,Central,16.195973901216462,5.219512498053042,-1.2300932282911958
USR0000TLIN,2008,Central,19.09113690649177,1.5905439096364091,4.638183497973817
USR0000TLIN,2009,Central,19.477632966778174,-4.9047902959317256,3.3767470337344356
USR0000TLIN,2010,Central,14.862183083294568,3.4433587598565722,-2.963157029182611
USR0000TLIN,2011,Central,20.017374381069843,-1.3608119712466973,-2.4834028943610704
USR0000TLIN,2012,Central,21.686050824249335,0.4273763873652072,-3.0538180729717865
USR0000TLIN,2013,Central,15.853446002485242,-1.2366058517548524,3.295379000449188
USR0000TLIN,2014,Central,13.360439962600367,0.2207587340897632,-1.178796285902159
USR0000TLIN,2015,Central,14.056779197506955,3.816314593949585,-4.410449495365867
USR0000TLIN,2016,Central,22.57131842285405,1.0931566915370894,-1.0494720274641551
USR0000TLIN,2017,Central,23.49917876753439,-1.9827599650094143,4.01457708561799
USR0000TLIN,2018,Central,16.905863803147696,-2.562461234912213,1.113286907030215
USR0000TLIN,2019,Central,16.65617597811672,0.3751771856281323,-2.370513430263543
USR0000TLIN,2020,Central,21.251422380600516,2.8824782909249365,0.9649938619332659
USR0000TLIN,2021,Central,19.054401901616203,5.349278827292963,-3.092859863923735
USR0000TLND,2003,East,-2.754288272092694,0.9971711128946055,-0.8719489917776073
USR0000TLND,2004,East,-4.5138736731944675,3.04282360941464,-1.3246868472302253
USR0000TLND,2005,East,-0.5180156910732592,-0.6586962617574699,-2.801770538915747
USR0000TLND,2006,East,0.21983299065549033,-1.2250429501914084,-0.8732179442842352
USR0000TLND,2007,East,-4.035451407833776,3.844399053696563,-0.9671668018784274
USR0000TLND,2008,East,-5.012447727736486,0.5479669136905656,2.881022653042862
USR0000TLND,2009,East,-6.383078815775036,-0.9538716746174103,5.666768677705235
USR0000TLND,2010,East,-5.110113993144708,-1.6770690833699646,-6.941308242472566
USR0000TLND,2011,East,0.16073301193209488,-6.074668836419342,-5.7468586033397955
USR0000TLND,2012,East,2.797228935762689,-1.3925045242076948,0.1825208174175259
USR0000TLND,2013,East,-5.0917460784361595,-1.748531244041672,-0.848227887134648
USR0000TLND,2014,East,-7.410302551203941,1.0713303581194893,-1.538276679635743
USR0000TLND,2015,East,-4.1772727915332695,2.118018547033401,-6.187671342871866
USR0000TLND,2016,East,0.35615336457711066,0.9292304373883695,-0.17544065652630536
USR0000TLND,2017,East,0.3729087865463754,1.9372133277926835,4.226134166548771
USR0000TLND,2018,East,-5.056650948006379,-3.685718079656482,0.5958264294020452
USR0000TLND,2019,East,-4.691552848969337,1.5262294637673506,-2.220147512564239
USR0000TLND,2020,East,-4.290870826837889,2.5146419488974416,1.8317760434422539
USR0000TLND,2021,East,-4.021125357315611,5.957950827131782,-5.172363266274736
USR0000TLRG,2000,Central,17.87435068328827,-2.573090003075748,4.61493060175383
USR0000TLRG,2001,Central,17.611862633108274,0.9497669280131618,-1.8968833528437798
USR0000TLRG,2002,Central,18.923535270143375,-0.020695125464463615,-0.0590721441026858
USR0000TLRG,2003,Central,16.711197724425162,1.3013143604824577,-0.6258889317356804
USR0000TLRG,2004,Central,16.924725530009738,1.877220371395687,-2.267855883782744
USR0000TLRG,2005,Central,20.63358539692112,-0.3298621600342173,-2.230258368152086
USR0000TLRG,2006,Central,20.23268247815048,-0.8693149928523951,2.9155482041257557
USR0000TLRG,2007,Central,16.14724789806135,5.021715439955408,-1.1626628233408525
USR0000TLRG,2008,Central,19.85055429527877,1.9564164097320713,4.113363888598059
USR0000TLRG,2009,Central,20.8787978971761,-4.563303023700222,2.7866634268063386
USR0000TLRG,2010,Central,15.483728692922668,3.0745342859574833,-2.4593076382675676
USR0000TLRG,2011,Central,18.658148111363843,0.11929432547176333,-2.6871089094125864
USR0000TLRG,2012,Central,22.637284767857224,0.8890928882898237,-3.6514949943015154
USR0000TLRG,2013,Central,18.09660542091268,-2.004031473438644,2.4504779163362542
USR0000TLRG,2014,Central,15.210103476039464,-0.6089730261524622,-1.590488411554098
USR0000TLRG,2015,Central,14.252522032832218,3.463055268924741,-3.994971478063853
USR0000TLRG,2016,Central,21.866518441572808,1.1735614383320296,-1.242211252962484
USR0000TLRG,2017,Central,23.01992606512833,-2.4246407761529625,2.88389947878537
USR0000TLRG,2018,Central,17.707587955969032,-2.1529621803097783,0.09134145771483304
USR0000TLRG,2019,Central,18.56887052253316,-0.33422498381830223,-3.2562489633268115
USR0000TLRG,2020,Central,22.89894022752766,2.9961559259443575,0.4814687475842945
USR0000TLRG,2021,Central,18.932464134418254,5.502864020920207,-4.378425281736838
USR0000TLUF,1995,East,0.25152620935878645,1.1206432991370932,0.7554779227797326
USR0000TLUF,2001,East,-1.32158230101534,2.394275063902988,0.9126169983039958
USR0000TLUF,2002,East,-2.7409491538949737,0.6405664096466026,1.292616623775828
USR0000TLUF,2003,East,-2.928412116288115,3.2291171116262163,-1.0451495884615767
USR0000TLUF,2004,East,-1.5718667095046612,3.2254309570478696,-0.6925912591771137
USR0000TLUF,2005,East,0.8979860727876172,1.4040354543210256,-0.9867803816893286
USR0000TLUF,2006,East,2.5491291055874257,0.9298156713425811,0.5712433908316541
USR0000TLUF,2007,East,0.7622321407091732,4.169077312342878,-1.4424179083732724
USR0000TLUF,2008,East,0.8989925703875485,0.39446739806279396,2.5584736214241133
USR0000TLUF,2009,East,-0.3199282834393955,-2.2586399239875874,4.282231358542724
USR0000TLUF,2010,East,-0.5436858454613827,-0.3859960700448539,-5.657447096940089
USR0000TLUF,2011,East,3.5963120301522054,-4.469466778522772,-4.485227433893819
USR0000TLUF,2012,East,5.614467438161711,1.09818965313994,0.9799056099969548
USR0000TLUF,2013,East,-0.9463911515469192,-0.8534835382550128,0.4520308529778134
USR0000TLUF,2014,East,-3.1344641066751535,2.25232539305636,-0.45638193452241893
USR0000TLUF,2015,East,0.2880015422947366,2.5256279389190652,-4.686037231596487
USR0000TLUF,2016,East,4.335760720278657,2.90055500822816,0.8621198851372753
